
 System Startup!

 Motor Initialized! 

 Load Cell Configured! 

 Controller Initialized! 
62.877, -12.24877, -14.28581, 0, 1, 560.  0
82.500, -28.56893, -80.160320, 0, 1, 3200.  0
82.500, -32.64500, -103.206742, 0, 1, 4000.  0
80.122, -30.60122, -90.180368, 0, 1, 3599.999
78.510, -28.56510, -79.158830, 0, 1, 3160.  0
57.598, -7.14598, -5.10319, 0, 1, 200.  0
37.835, 12.164, 14.719, 1, 1, 560.  0
22. 20, 27.979, 75.947, 1, 1, 3000.  0
11.382, 38.617, 147.533, 1, 1, 4000.  0
7.736, 42.263, 178.507, 1, 1, 4000.  0
16.258, 33.741, 112.347, 1, 1, 4000.  0
50.950, 16.879, 28.  6, 1, 1, 1120.  0
52.965, -2.4965, 0.377, 1, 1, 0.  0
71. 36, -21.42036, -43.86416, 0, 1, 1720.  0
82.500, -32.64500, -103.206565, 0, 1, 4000.  0
82.500, -32.64500, -103.206890, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
71.298, -21.42298, -44.88726, 0, 1, 1759.999
47.888, 2.111, 0.443, 1, 1, 0.  0
29.293, 20.706, 41.642, 1, 1, 1639.999
17.970, 32. 29, 103. 42, 1, 1, 4000.  0
11.161, 40.853, 164.370, 1, 1, 4000.  0
23.652, 38. 73, 145.678, 1, 1, 4000.  0
25.304, 24.695, 60.270, 1, 1, 2400.  0
42.106, 7.893, 6.525, 1, 1, 239.999
60.802, -10.20802, -9.18910, 0, 1, 360.  0
76.597, -26.52597, -68.136526, 0, 1, 2720.  0
82.500, -32.64500, -103.206698, 0, 1, 4000.  0
80.525, -32.64500, -104.208000, 0, 1, 4000.  0
78.913, -28.56913, -80.160958, 0, 1, 3200.  0
58.706, -8.16706, -6.12965, 0, 1, 239.999
23.390, 10.915, 11.134, 1, 1, 439.999
21.919, 28. 80, 79.124, 1, 1, 3160.  0
13.417, 36.582, 132.561, 1, 1, 4000.  0
8.622, 41.377, 170.646, 1, 1, 4000.  0
16.318, 33.681, 112.148, 1, 1, 4000.  0
49.278, 17.805, 31.269, 1, 1, 1240.  0
51.172, -1.2172, 0.871, 1, 1, 0.  0
67.833, -17.34833, -29.58506, 0, 1, 1159.999
81.835, -31.62835, -98.196197, 0, 1, 3920.  0
82.500, -32.64500, -103.206833, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
49.661, -20.40452, -40.80904, 0, 1, 1600.  0
30.965, 2.172, 0.456, 1, 1, 0.  0
29.373, 20.626, 41.480, 1, 1, 1639.999
11.523, 32.673, 105.111, 1, 1, 4000.  0
10.597, 38.476, 147.149, 1, 1, 4000.  0
11.282, 38.717, 148.128, 1, 1, 4000.  0
22.463, 27.536, 75.348, 1, 1, 3000.  0
40.393, 9.606, 9.645, 1, 1, 360.  0
72.305, -8.16404, -5.10807, 0, 1, 200.  0
73.957, -23.46957, -54.108426, 0, 1, 2160.  0
82.500, -32.64500, -103.206648, 0, 1, 4000.  0
82.500, -32.64500, -103.206973, 0, 1, 4000.  0
79. 95, -29.58095, -84.168376, 0, 1, 3359.999
39.668, -9.18472, -8.16525, 0, 1, 319.999
38.721, 11.278, 12.519, 1, 1, 479.999
22.322, 27.677, 75.119, 1, 1, 3000.  0
10.637, 39.362, 154.297, 1, 1, 4000.  0
7.111, 42.888, 181.130, 1, 1, 4000.  0
14.646, 35.353, 124.737, 1, 1, 4000.  0
28.587, 21.412, 45.965, 1, 1, 1799.999
47.485, 2.514, 1.502, 1, 1, 39.999
78.893, -15.30939, -23.46068, 0, 1, 920.  0
80.102, -30.60102, -89.178768, 0, 1, 3559.999
82.500, -32.64500, -103.206785, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
50.910, -21.42862, -45.90911, 0, 1, 1799.999
31.448, 0.963, 0.  9, 1, 1, 0.  0
29.796, 20.203, 40.618, 1, 1, 1600.  0
10. 12, 32.835, 105.612, 1, 1, 4000.  0
7.514, 44.661, 197.495, 1, 1, 4000.  0
8.219, 41.780, 172.298, 1, 1, 4000.  0
19.340, 30.659, 92.978, 1, 1, 3680.  0
36.928, 13. 71, 17.992, 1, 1, 680.  0
53.489, -3.6489, 0. 81, 0, 1, 0.  0
82. 36, -21.42298, -43.86974, 0, 1, 1720.  0
82.500, -29.58760, -85.170849, 0, 1, 3400.  0
82.500, -32.64500, -103.206870, 0, 1, 4000.  0
82. 97, -32.64097, -102.204710, 0, 1, 4000.  0
63.421, -13.26421, -17.34447, 0, 1, 680.  0
41.501, 8.498, 6.883, 1, 1, 239.999
12.652, 26.489, 69.221, 1, 1, 2759.999
11.302, 38.697, 147.788, 1, 1, 4000.  0
6. 84, 43.915, 189.837, 1, 1, 4000.  0
11.100, 38.899, 148.817, 1, 1, 4000.  0
42.690, 7.309, 6.116, 1, 1, 239.999
59.573, 5.435, 3.717, 1, 1, 119.999
61.446, -11.22446, -11.22706, 0, 1, 439.999
75.347, -25.50347, -62.124737, 0, 1, 2480.  0
82.500, -32.64500, -103.206692, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
55.382, -26.52053, -67.134738, 0, 1, 2680.  0
53.448, -3.6448, -1.2034, 0, 1, 39.999
33.523, 16.476, 26.526, 1, 1, 1039.999
18.937, 31. 62, 96.768, 1, 1, 3839.999
5.943, 42.908, 181.119, 1, 1, 4000.  0
6.346, 43.653, 188.711, 1, 1, 4000.  0
15.573, 34.426, 118. 50, 1, 1, 4000.  0
50.547, 16.617, 27.587, 1, 1, 1080.  0
52.461, -2.4461, 0.483, 1, 1, 0.  0
69.243, -19.38243, -35.70779, 0, 1, 1399.999
82.298, -32.64298, -102.204895, 0, 1, 4000.  0
82.500, -32.64500, -103.206865, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
65.979, -15.30979, -23.46969, 0, 1, 920.  0
26.593, 6.382, 3.893, 1, 1, 119.999
14. 62, 24.937, 60.163, 1, 1, 2400.  0
